sound	fr	fr_ipa	en	en_ipa	cognate
0.84	ballade	balad	ballad	bˈæləd	1
0.84	bobine	bɔbin	bobbin	bˈɒbɪn	1
0.84	cabane	kaban	cabin	kˈæbɪn	0
0.84	cabine	kabin	cabin	kˈæbɪn	1
0.84	canal	kanal	canal	kənˈæl	1
0.84	comique	kɔmik	comic	kˈɒmɪk	0
0.84	comète	kɔmɛt	comet	kˈɒmɪt	1
0.84	cousine	kuzin	cousin	kˈʌzən	1
0.84	douzaine	duzɛn	dozen	dˈʌzən	0
0.84	flatter	flate	flatter	flˈætɐ	1
0.84	limite	limit	limit	lˈɪmɪt	1
0.84	madame	madam	madam	mˈædəm	1
0.84	menace	mənas	menace	mˈɛnɪs	1
0.84	panique	panik	panic	pˈænɪk	0
0.84	pénis	penis	penis	pˈiːnɪs	1
0.84	salade	salad	salad	sˈæləd	1
0.84	solide	sɔlid	solid	sˈɒlɪd	1
0.84	timide	timid	timid	tˈɪmɪd	1
0.84	visite	vizit	visit	vˈɪzɪt	1
0.84	vodka	vɔdka	vodka	vˈɒdkɐ	1
0.8389	respectif	ʁɛspɛktif	respective	ɹɪspˈɛktɪv	1
0.8375	philosophie	filɔzɔfi	philosophy	fɪlˈɒsəfi	1
0.8333	cantine	kɑ̃tin	canteen	kɑːntˈiːn	0
0.8333	estimer	ɛstime	esteem	ɛstˈiːm	0
0.8333	morphine	mɔʁfin	morphine	mˈɔːfiːn	1
0.8313	électrique	elɛktʁik	electric	ɪlˈɛktɹɪk	0
0.8286	abdomen	abdɔmɛn	abdomen	ˈæbdəmən	1
0.8286	académie	akademi	academy	ɐkˈædəmi	1
0.8286	adéquate	adekwat	adequate	ˈædɪkwət	1
0.8286	analyste	analist	analyst	ˈænɐlˌɪst	1
0.8286	anatomie	anatɔmi	anatomy	ɐnˈætəmi	1
0.8286	aquatique	akwatik	aquatic	əkwˈætɪk	0
0.8286	asthmatique	asmatik	asthmatic	æsmˈætɪk	1
0.8286	autistique	otistik	autistic	ɔːtˈɪstɪk	0
0.8286	minimum	minimɔm	minimum	mˈɪnɪməm	1
0.8286	omnibus	ɔmnibys	omnibus	ˈɒmnɪbəs	1
0.8286	pacifique	pasifik	pacific	pɐsˈɪfɪk	0
0.8286	économie	ekɔnɔmi	economy	ɪkˈɒnəmi	1
0.8286	élastique	elastik	elastic	ɪlˈɑːstɪk	0
0.8222	anatomiste	anatɔmist	anatomist	ˈænɐtəmˌɪst	1
0.8222	apocalypse	apɔkalips	apocalypse	ɐpˈɒkɐlˌɪps	1
0.8222	apostolique	apɔstɔlik	apostolic	ɐpəstˈɒlɪk	1
0.8222	publicité	pyblisite	publicity	pʌblˈɪsɪti	1
0.82	actif	aktif	active	ˈæktɪv	0
0.82	passif	pasif	passive	pˈɑːsɪv	0
0.82	perspective	pɛʁspɛktiv	perspective	pəspˈɛktɪv	1
0.8182	apocalyptique	apɔkaliptik	apocalyptic	ɐpˌɒkɐlˈɪptɪk	1
0.8167	route	ʁut	route	ɹˈuːt	1
0.8143	adoptif	adɔptif	adoptive	ɐdˈɒptɪv	1
0.8143	positif	pozitif	positive	pˈɒzɪtˌɪv	1
0.8111	définitif	definitif	definitive	dɪfˈɪnɪtˌɪv	1
0.81	débris	debʁi	debris	dˈɛbɹiː	1
0.81	forum	fɔʁɔm	forum	fˈɔːɹəm	1
0.81	marquis	maʁki	marquis	mɑːrkˈiː	1
0.81	terrasse	tɛʁas	terrace	tˈɛɹɪs	1
0.8071	doctrine	dɔktʁin	doctrine	dˈɒktɹɪn	1
0.8071	parallèle	paʁalɛl	parallel	pˈæɹəlˌɛl	1
0.8071	problème	pʁɔblɛm	problem	pɹˈɒbləm	1
0.8071	tungstène	tœ̃kstɛn	tungsten	tˈʌŋstən	1
0.8056	astronomie	astʁɔnɔmi	astronomy	ɐstɹˈɒnəmi	1
0.8045	électricité	elɛktʁisite	electricity	ɪlɛktɹˈɪsɪtˌi	1
0.8	académique	akademik	academic	ˌækədˈɛmɪk	0
0.8	accepter	aksɛpte	accept	ɐksˈɛpt	1
0.8	acide	asid	acid	ˈæsɪd	1
0.8	acné	akne	acne	ˈækni	1
0.8	activité	aktivite	activity	æktˈɪvɪti	1
0.8	acétylène	asetilɛn	acetylene	ɐsˈɛtəlˌiːn	1
0.8	adieu	adjø	adieu	ɐdjˈuː	1
0.8	alpha	alfa	alpha	ˈælfɐ	1
0.8	amazone	amazon	amazon	ˈæməzən	1
0.8	anémique	anemik	anaemic	ɐnˈiːmɪk	0
0.8	atoll	atɔl	atoll	ˈætɒl	1
0.8	atome	atom	atom	ˈætəm	1
0.8	atomique	atɔmik	atomic	ɐtˈɒmɪk	0
0.8	attaque	atak	attack	ɐtˈæk	0
0.8	automatique	otɔmatik	automatic	ˌɔːtəmˈætɪk	1
0.8	café	kafe	coffee	kˈɒfi	0
0.8	cinéma	sinema	cinema	sˈɪnəmɐ	1
0.8	cité	site	city	sˈɪti	0
0.8	connecter	kɔnɛkte	connect	kənˈɛkt	1
0.8	destiner	dɛstine	destine	dˈɛstɪn	1
0.8	dîner	dine	dinner	dˈɪnɐ	1
0.8	lever	ləve	lever	lˈiːvɐ	1
0.8	maman	mamɑ̃	mammy	mˈæmi	0
0.8	maman	mamɑ̃	mommy	mˈɒmi	0
0.8	manifester	manifɛste	manifest	mˈænɪfˌɛst	1
0.8	me	mə	me	mˈiː	1
0.8	nounou	nunu	nanny	nˈæni	0
0.8	nécessité	nesesite	necessity	nəsˈɛsɪti	1
0.8	office	ɔfis	office	ˈɒfɪs	1
0.8	olive	ɔliv	olive	ˈɒlɪv	1
0.8	panama	panama	panama	pˈænəmˌɑː	1
0.8	puma	pyma	puma	pˈuːmɐ	1
0.8	quai	kɛ	quay	kˈiː	0
0.8	scie	si	saw	sˈɔː	0
0.8	shah	ʃa	shah	ʃˈɑː	1
0.8	silhouette	silwɛt	silhouette	sˌɪlʊwˈɛt	1
0.8	souper	supe	supper	sˈʌpɐ	1
0.8	technique	tɛknik	technics	tˈɛknɪks	0
0.8	tester	tɛste	test	tˈɛst	1
0.8	testicule	tɛstikyl	testicle	tˈɛstɪkə‍l	1
0.8	thé	te	tea	tˈiː	0
0.8	vallée	vale	valley	vˈæli	1
0.8	vanité	vanite	vanity	vˈænɪti	1
0.8	villa	vila	villa	vˈɪlɐ	1
0.8	vivacité	vivasite	vivacity	vɪvˈæsɪti	1
0.7962	administratif	administʁatif	administrative	ɐdmˈɪnɪstɹətˌɪv	1
0.7857	fantaisie	fɑ̃tezi	fantasy	fˈɑːntəsi	0
0.785	astronomique	astʁɔnɔmik	astronomic	ɐstɹənˈɒmɪk	1
0.7833	alpaga	alpaga	alpaca	ælpˈækɐ	1
0.7812	albatros	albatʁos	albatross	ˈælbɐtɹˌɒs	1
0.7812	astronaute	astʁɔnot	astronaut	ˈæstɹənˌɔːt	1
0.7812	astérisque	asteʁisk	asterisk	ˈɑːstəɹˌɪsk	0
0.7812	autocratie	otɔkʁasi	autocracy	ɔːtˈɒkɹəsˌi	0
0.7812	cérémonie	seʁemɔni	ceremony	sˈɛɹɪməni	1
0.7812	démocrate	demɔkʁat	democrat	dˈɛməkɹˌæt	1
0.7812	paradoxe	paʁadɔks	paradox	pˈæɹədˌɒks	1
0.7812	république	ʁepyblik	republic	ɹɪpˈʌblɪk	0
0.78	antiseptique	ɑ̃tisɛptik	antiseptic	ˌæntɪsˈɛptɪk	1
0.78	statistique	statistik	statistics	stɐtˈɪstɪks	0
0.775	abrupt	abʁypt	abrupt	ɐbɹˈʌpt	1
0.775	accepté	aksɛpte	accepted	ɐksˈɛptɪd	1
0.775	acoustique	akustik	acoustics	ɐkˈuːstɪks	0
0.775	actrice	aktʁis	actress	ˈæktɹəs	0
0.775	albumen	albymɛn	albumen	ˈælbjuːmˌɛn	1
0.775	atrophie	atʁɔfi	atrophy	ˈætɹəfi	1
0.775	blasphémer	blasfeme	blaspheme	blɑːsfˈiːm	1
0.775	brésil	bʁezil	brazil	bɹɐzˈɪl	0
0.775	promesse	pʁɔmɛs	promise	pɹˈɒmɪs	1
0.775	prophète	pʁɔfɛt	prophet	pɹˈɒfɪt	1
0.775	suprême	sypʁɛm	supreme	suːpɹˈiːm	1
0.775	trafic	tʁafik	traffic	tɹˈæfɪk	1
0.7714	acidité	asidite	acidity	æsˈɪdɪti	1
0.7714	affinité	afinite	affinity	ɐfˈɪnɪti	1
0.7714	habilité	abilite	ability	ɐbˈɪlətˌi	1
0.77	mysticisme	mistisism	mysticism	mˈɪstɪsˌɪzəm	1
0.7667	attester	atɛste	attest	ɐtˈɛst	1
0.7667	benzène	bɛ̃zɛn	benzene	bˈɛnziːn	1
0.7667	divorce	divɔʁs	divorce	dɪvˈɔːs	1
0.7667	exceller	ɛksele	excel	ɛksˈɛl	0
0.7667	inceste	ɛ̃sɛst	incest	ɪnsˈɛst	1
0.7667	insecte	ɛ̃sɛkt	insect	ˈɪnsɛkt	1
0.7667	passeport	paspɔʁ	passport	pˈɑːspɔːt	1
0.7667	secteur	sɛktœʁ	sector	sˈɛktɐ	0
0.7667	succès	syksɛ	success	səksˈɛs	1
0.7643	améthyste	ametist	amethyst	ˈæmɪθˌɪst	1
0.7643	athlétique	atletik	athletic	æθlˈɛtɪk	0
0.7643	bénéfice	benefis	benefit	bˈɛnɪfˌɪt	1
0.7636	accordéoniste	akɔʁdeɔnist	accordionist	ɐkˈɔːdɪənˌɪst	1
0.7625	bref	bʁɛf	brief	bɹˈiːf	1
