src	tgt	src_lang	tgt_lang	tag	source_file
bawdy	bondi	en	fr	homophone	en_fr_homophones.csv
bawdy	bondie	en	fr	homophone	en_fr_homophones.csv
bawdy	bondies	en	fr	homophone	en_fr_homophones.csv
bawdy	bondis	en	fr	homophone	en_fr_homophones.csv
bawdy	bondit	en	fr	homophone	en_fr_homophones.csv
bead	bide	en	fr	homophone	en_fr_homophones.csv
bead	bides	en	fr	homophone	en_fr_homophones.csv
bede	bide	en	fr	homophone	en_fr_homophones.csv
bede	bides	en	fr	homophone	en_fr_homophones.csv
beede	bide	en	fr	homophone	en_fr_homophones.csv
beede	bides	en	fr	homophone	en_fr_homophones.csv
beak	bic	en	fr	homophone	en_fr_homophones.csv
beak	bique	en	fr	homophone	en_fr_homophones.csv
beak	biques	en	fr	homophone	en_fr_homophones.csv
beeck	bic	en	fr	homophone	en_fr_homophones.csv
beeck	bique	en	fr	homophone	en_fr_homophones.csv
beeck	biques	en	fr	homophone	en_fr_homophones.csv
beek	bic	en	fr	homophone	en_fr_homophones.csv
beek	bique	en	fr	homophone	en_fr_homophones.csv
beek	biques	en	fr	homophone	en_fr_homophones.csv
bean	bine	en	fr	homophone	en_fr_homophones.csv
bean	binent	en	fr	homophone	en_fr_homophones.csv
bean	bines	en	fr	homophone	en_fr_homophones.csv
beane	bine	en	fr	homophone	en_fr_homophones.csv
beane	binent	en	fr	homophone	en_fr_homophones.csv
beane	bines	en	fr	homophone	en_fr_homophones.csv
beene	bine	en	fr	homophone	en_fr_homophones.csv
beene	binent	en	fr	homophone	en_fr_homophones.csv
beene	bines	en	fr	homophone	en_fr_homophones.csv
bein	bine	en	fr	homophone	en_fr_homophones.csv
bein	binent	en	fr	homophone	en_fr_homophones.csv
bein	bines	en	fr	homophone	en_fr_homophones.csv
beine	bine	en	fr	homophone	en_fr_homophones.csv
beine	binent	en	fr	homophone	en_fr_homophones.csv
beine	bines	en	fr	homophone	en_fr_homophones.csv
biehn	bine	en	fr	homophone	en_fr_homophones.csv
biehn	binent	en	fr	homophone	en_fr_homophones.csv
biehn	bines	en	fr	homophone	en_fr_homophones.csv
bien	bine	en	fr	homophone	en_fr_homophones.csv
bien	binent	en	fr	homophone	en_fr_homophones.csv
bien	bines	en	fr	homophone	en_fr_homophones.csv
beat	bit	en	fr	homophone	en_fr_homophones.csv
beat	bite	en	fr	homophone	en_fr_homophones.csv
beat	bites	en	fr	homophone	en_fr_homophones.csv
beat	bits	en	fr	homophone	en_fr_homophones.csv
beat	bitte	en	fr	homophone	en_fr_homophones.csv
beat	bittent	en	fr	homophone	en_fr_homophones.csv
beat	bittes	en	fr	homophone	en_fr_homophones.csv
beet	bit	en	fr	homophone	en_fr_homophones.csv
beet	bite	en	fr	homophone	en_fr_homophones.csv
beet	bites	en	fr	homophone	en_fr_homophones.csv
beet	bits	en	fr	homophone	en_fr_homophones.csv
beet	bitte	en	fr	homophone	en_fr_homophones.csv
beet	bittent	en	fr	homophone	en_fr_homophones.csv
beet	bittes	en	fr	homophone	en_fr_homophones.csv
bebe	bibi	en	fr	homophone	en_fr_homophones.csv
bebe	bibis	en	fr	homophone	en_fr_homophones.csv
beebe	bibi	en	fr	homophone	en_fr_homophones.csv
beebe	bibis	en	fr	homophone	en_fr_homophones.csv
beeby	bibi	en	fr	homophone	en_fr_homophones.csv
beeby	bibis	en	fr	homophone	en_fr_homophones.csv
bibi	bibi	en	fr	homophone	en_fr_homophones.csv
bibi	bibis	en	fr	homophone	en_fr_homophones.csv
becht	becte	en	fr	homophone	en_fr_homophones.csv
becht	bectent	en	fr	homophone	en_fr_homophones.csv
becht	bectes	en	fr	homophone	en_fr_homophones.csv
beef	biffe	en	fr	homophone	en_fr_homophones.csv
beef	biffent	en	fr	homophone	en_fr_homophones.csv
beef	biffes	en	fr	homophone	en_fr_homophones.csv
beep	bip	en	fr	homophone	en_fr_homophones.csv
behn	benne	en	fr	homophone	en_fr_homophones.csv
behn	bennes	en	fr	homophone	en_fr_homophones.csv
behne	benne	en	fr	homophone	en_fr_homophones.csv
behne	bennes	en	fr	homophone	en_fr_homophones.csv
ben	benne	en	fr	homophone	en_fr_homophones.csv
ben	bennes	en	fr	homophone	en_fr_homophones.csv
benn	benne	en	fr	homophone	en_fr_homophones.csv
benn	bennes	en	fr	homophone	en_fr_homophones.csv
benne	benne	en	fr	homophone	en_fr_homophones.csv
benne	bennes	en	fr	homophone	en_fr_homophones.csv
besaw	bissons	en	fr	homophone	en_fr_homophones.csv
besch	bêche	en	fr	homophone	en_fr_homophones.csv
besch	bêchent	en	fr	homophone	en_fr_homophones.csv
